ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
AAA.VN,2024-09-09,Packaging & Containers,Consumer Cyclical,3908170153984.0,9172.666,0.0374,8.37478,9800.0,7900.0,12600.0,12219112046283.0,3567132365308.0,723235100041.0,428793582472.0,2024-06-30,-28.57,19.39
AGG.VN,2024-09-09,Real Estate—Diversified,Real Estate,3755094835200.0,1592.839,0.09127,8.355362,17100.0,15760.0,28800.0,8197170042486.0,4432107105342.0,963785763855.0,670722680693.0,2024-06-30,-68.42,7.84
AGR.VN,2024-09-09,Capital Markets,Financial Services,4668162834432.0,947.807,0.32299998,32.377594,18000.0,11400.0,23250.0,3626321903325.0,1230129090056.0,188074789579.0,161458565457.0,2024-06-30,-29.17,36.67
ANV.VN,2024-09-09,Farm Products,Consumer Defensive,5796175282176.0,743.81,0.0073,129.02303,31550.0,24550.0,41950.0,4912103461795.0,1895838353855.0,156380001684.0,170360726568.0,2024-06-30,-32.96,22.19
ASM.VN,2024-09-09,Real Estate Services,Real Estate,15271823671296.0,5299.314,0.016549999,18.685007,9020.0,7190.909,12318.182,20642960387164.0,8243803300256.0,1000054474425.0,807253770103.0,2024-06-30,-36.57,20.28
AST.VN,2024-09-09,Airports & Air Services,Industrials,2316029394944.0,8810.929,0.10306,20.528883,56500.0,48000.0,68000.0,805962790877.0,190048296819.0,213294412985.0,194570222751.0,2024-06-30,-20.35,15.04
BBC.VN,2024-09-09,Confectioners,Consumer Defensive,822973169664.0,24619.533,0.071880005,8.436445,51000.0,48200.0,59700.0,1980240381300.0,537274770279.0,149373139848.0,101236675953.0,2024-06-30,-17.06,5.49
BCG.VN,2024-09-09,Conglomerates,Industrials,27359885393920.0,1932.009,0.01635,80.46121,6420.0,6170.0,11318.182,45308294233696.0,11210635224647.0,1106105751919.0,611515762908.0,2024-06-30,-76.3,3.89
BCM.VN,2024-09-09,Engineering & Construction,Industrials,88244104462336.0,559.188,0.25419,29.78581,71200.0,50400.0,74500.0,55029367495497.0,22159924030321.0,4045884988308.0,2778081780831.0,2024-06-30,-4.63,29.21
BHN.VN,2024-09-09,Beverages—Brewers,Consumer Defensive,5275711963136.0,18338.832,0.03658,30.21148,38000.0,36800.0,44350.0,7275155408068.0,2062136695679.0,441905127623.0,214780277515.0,2024-06-30,-16.71,3.16
BMP.VN,2024-09-09,Building Products & Equipment,Industrials,6807675207680.0,21410.408,0.20628001,8.977163,102600.0,78000.0,126000.0,3085178300509.0,416127598779.0,1175710001165.0,1204481176018.0,2024-06-30,-22.81,23.98
BSI.VN,2024-09-09,Capital Markets,Financial Services,11817097101312.0,13609.476,0.35085,22.558237,47800.0,29136.363,61181.816,9858173903494.0,4946051662549.0,710572398880.0,209833968490.0,2024-06-30,-28.0,39.05
BWE.VN,2024-09-09,Waste Management,Industrials,14617700990976.0,3298.71,0.16799,19.547255,45800.0,34824.562,47000.0,12138310718945.0,2290028854698.0,1085318539391.0,1033786272337.0,2024-06-30,-2.62,23.96
CAV.VN,2024-09-09,Electrical Equipment & Parts,Industrials,5813645606912.0,5356.419,0.04073,9.451796,69900.0,61200.0,80900.0,4449233157883.0,2721354311537.0,575463874510.0,753463205821.0,2024-03-31,-15.74,12.45
CHP.VN,2024-09-09,Utilities—Regulated Electric,Utilities,5362497355776.0,2114.438,0.34772998,18.206806,33650.0,23100.0,35350.0,2773397481533.0,286808344167.0,356296941235.0,349222054534.0,2024-06-30,-5.05,31.35
CII.VN,2024-09-09,Engineering & Construction,Industrials,28601843974144.0,5638.902,0.1302,13.83126,15300.0,13600.0,24600.0,36205093960497.0,8319092216908.0,2290614830723.0,507305663723.0,2024-03-31,-60.78,11.11
CMG.VN,2024-09-09,Information Technology Services,Technology,10574512521216.0,8607.534,0.04561,36.600594,51000.0,32408.875,74600.0,7303536205785.0,2926815865460.0,539811175085.0,384771048752.0,2024-06-30,-46.27,36.45
