ticker,market,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,Total Assets,Current Liabilities,EBIT,ttm_lastest,MF_ROC,MF_EY
2S.bk,SET,2024-08-13,Steel,Basic Materials,1594988544.0,2.9,1325299328.0,2400035000.0,303942000.0,122502000.0,2024-03-31,0.05844301755695,0.09243345817194891
3K-BAT.bk,SET,2024-08-13,Electrical Equipment & Parts,Industrials,4174799872.0,53.25,3860087040.0,3736470103.0,885164361.0,205445883.0,2024-03-31,0.07205326316773503,0.0532231218806921
A5.bk,mai,2024-08-13,Real Estate - Development,Real Estate,3369079808.0,2.86,4583295488.0,3836101878.0,1114287838.0,691593519.0,2024-03-31,0.254092861906172,0.15089437737774763
AAI.bk,SET,2024-08-13,Packaged Foods,Consumer Defensive,13174999040.0,6.2,11707526144.0,5828192000.0,591024000.0,927692507.0,2024-06-30,0.17713628949844648,0.0792389865791958
AAV.bk,SET,2024-08-13,Airlines,Industrials,28783998976.0,2.24,71627341824.0,70535641000.0,27401289000.0,1790460000.0,2024-03-31,0.04150891150515024,0.024996879046544136
ACE.bk,SET,2024-08-13,Utilities - Renewable,Utilities,13299791872.0,1.32,17894139904.0,22137640847.0,2040584773.0,1348366289.0,2024-03-31,0.06709272661802496,0.07535239448410652
ACG.bk,SET,2024-08-13,Auto & Truck Dealerships,Consumer Cyclical,492000000.0,0.82,788151616.0,1373074603.0,472584927.0,57402832.0,2024-03-31,0.06374624110626671,0.07283222013973514
ADD.bk,mai,2024-08-13,Advertising Agencies,Communication Services,627200000.0,3.92,423927840.0,635290522.0,67162367.0,40255318.0,2024-03-31,0.07085605183569893,0.09495794850368874
ADVANC.bk,SET,2024-08-13,Telecom Services,Communication Services,725656010752.0,244.0,940599869440.0,438519263000.0,131150266000.0,47860434523.0,2024-06-30,0.15571002602777143,0.050882884505921114
AF.bk,mai,2024-08-13,Credit Services,Financial Services,768000000.0,0.48,2557789952.0,2399439000.0,1808713000.0,7934641.0,2024-03-31,0.013432015858452141,0.0031021472243237588
AFC.bk,SET,2024-08-13,Textile Manufacturing,Consumer Cyclical,213287712.0,4.68,188609616.0,1477281039.87,130721749.82,1294981.5099999998,2024-03-31,0.000961696614154966,0.006865935774981906
AH.bk,SET,2024-08-13,Auto Parts,Consumer Cyclical,5237299200.0,15.1,9349101568.0,25477489000.0,11050564000.0,1848403508.0,2024-03-31,0.12812179366011814,0.1977092124367003
AHC.bk,SET,2024-08-13,Medical Care Facilities,Healthcare,2293607680.0,15.3,1053336768.0,2448409000.0,251811000.0,216674241.0,2024-03-31,0.09864082594994623,0.20570272260732475
AI.bk,SET,2024-08-13,Electrical Equipment & Parts,Industrials,2435996416.0,3.48,2618562816.0,3591010000.0,403858000.0,194745637.0,2024-03-31,0.06110334147853632,0.07437119163613755
AIE.bk,SET,2024-08-13,Farm Products,Consumer Defensive,1494730880.0,1.08,1231286912.0,2461035000.0,314605000.0,80604937.0,2024-03-31,0.037553023858220395,0.0654639761167217
AIMCG.bk,SET,2024-08-13,REIT - Retail,Real Estate,1013760000.0,3.52,1010314368.0,3232767856.0,87493736.0,94453857.0,2024-03-31,0.03003040542615726,0.09348957115890487
AIMIRT.bk,SET,2024-08-13,REIT - Industrial,Real Estate,8627350528.0,10.9,9615187968.0,11052265000.0,230984000.0,649986691.0,2024-03-31,0.060065595838422456,0.06759999837373955
AIRA.bk,mai,2024-08-13,Capital Markets,Financial Services,9282873344.0,1.47,13984982016.0,9473787000.0,4338706000.0,83163788.0,2024-03-31,0.016195224184389692,0.0059466496206325905
AIT.bk,SET,2024-08-13,Information Technology Services,Technology,6053494784.0,3.94,3978415104.0,6576923000.0,2186851000.0,741764186.0,2024-06-30,0.16896401380205153,0.18644715712400434
AKP.bk,mai,2024-08-13,Waste Management,Industrials,250480000.0,0.62,104864000.0,710119000.0,51339000.0,32371265.0,2024-03-31,0.04913820243480373,0.3086975987946292
AKR.bk,SET,2024-08-13,Electrical Equipment & Parts,Industrials,1265834112.0,0.86,1370823680.0,2352730007.0,670840499.0,281795015.0,2024-03-31,0.16754668702053643,0.20556620016952143
ALLA.bk,SET,2024-08-13,Industrial Distribution,Industrials,942000000.0,1.57,545289024.0,1225429000.0,215087000.0,138185360.0,2024-03-31,0.13677087560449827,0.2534167274931248
ALLY.bk,SET,2024-08-13,REIT - Diversified,Real Estate,3950931712.0,4.52,7774358016.0,13438198000.0,592507000.0,619934522.0,2024-03-31,0.048260114773117306,0.07974092789708748
ALT.bk,SET,2024-08-13,Communication Equipment,Technology,1415287552.0,1.25,1972476800.0,3794781152.0,1088362489.0,89919840.0,2024-03-31,0.03322466003849014,0.04558727382750459
ALUCON.bk,SET,2024-08-13,Aluminum,Basic Materials,7646400000.0,177.0,4585415680.0,7890793000.0,577203000.0,732754501.0,2024-03-31,0.10019080930158787,0.15980110684316412
AMA.bk,mai,2024-08-13,Marine Shipping,Industrials,2237401600.0,4.32,3457081856.0,4946493464.67,846854362.67,356690035.65,2024-03-31,0.08700522821045138,0.10317662424768458
AMANAH.bk,SET,2024-08-13,Credit Services,Financial Services,1172278912.0,0.99,3808175872.0,4679073389.0,2699094476.0,138217178.0,2024-03-31,0.06980739900435495,0.03629485156299
AMARC.bk,mai,2024-08-13,Scientific & Technical Instruments,Technology,512400000.0,1.22,486573824.0,642230655.82,57488831.86,20424323.75,2024-03-31,0.03492878893403245,0.0419757963593208
AMARIN.bk,SET,2024-08-13,Publishing,Communication Services,3853368320.0,3.86,2901771776.0,6005325000.0,947133000.0,264098151.0,2024-03-31,0.05221196644967214,0.09101272304883015
AMATA.bk,SET,2024-08-13,Real Estate - Development,Real Estate,26680000512.0,23.2,47911182336.0,58012066000.0,15348091000.0,3618370134.0,2024-03-31,0.08481090039078637,0.07552245545986436
AMATAR.bk,SET,2024-08-13,REIT - Industrial,Real Estate,2201023488.0,6.15,3170888960.0,4639788000.0,149671000.0,254776387.0,2024-03-31,0.05674159203423875,0.0803485679296698
AMATAV.bk,SET,2024-08-13,Real Estate Services,Real Estate,4903139840.0,4.6,9519899648.0,14365703000.0,4528933000.0,965748120.0,2024-06-30,0.09817736106465842,0.10144519960385195
AMC.bk,SET,2024-08-13,Steel,Basic Materials,1526705280.0,3.18,1947399040.0,5459052000.0,1964459000.0,451389018.0,2024-06-30,0.12916783671231527,0.23179071609278395
ANAN.bk,SET,2024-08-13,Real Estate - Development,Real Estate,2291442944.0,0.55,18503460864.0,32470501000.0,13881542000.0,136543706.0,2024-03-31,0.007345419719307574,0.007379360380395485
ANI.bk,SET,2024-08-13,Integrated Freight & Logistics,Industrials,7133279744.0,3.86,6755295232.0,10474551626.0,1836210512.0,1021814987.0,2024-06-30,0.1182883349378231,0.15126133675988537
AOT.bk,SET,2024-08-13,Airports & Air Services,Industrials,799999197184.0,56.0,861852729344.0,195726481345.0,21175670708.0,24573086347.0,2024-03-31,0.1407789872606365,0.028511931923338955
AP.bk,SET,2024-08-13,Real Estate - Development,Real Estate,24066136064.0,7.65,57214504960.0,86183109000.0,22118382000.0,7053540376.0,2024-03-31,0.11010021748785412,0.12328238059441911
APCO.bk,SET,2024-08-13,Household & Personal Products,Consumer Defensive,3360000000.0,5.6,3136866048.0,721003690.0,48774094.0,113135396.0,2024-03-31,0.1682987429788795,0.03606637780154264
APCS.bk,SET,2024-08-13,Engineering & Construction,Industrials,1425600000.0,2.16,2143338496.0,3750604872.58,1853600273.73,82096282.46,2024-03-31,0.043276796750924225,0.03830299442351825
APP.bk,mai,2024-08-13,Software - Application,Technology,333200032.0,1.19,150373504.0,829720000.0,332955000.0,48795085.0,2024-03-31,0.09822569021569555,0.32449257151047034
APURE.bk,SET,2024-08-13,Farm Products,Consumer Defensive,3718747904.0,4.0,4014502144.0,2975872000.0,523247000.0,515045953.0,2024-03-31,0.2099978402731767,0.12829634523169406
AQUA.bk,SET,2024-08-13,Advertising Agencies,Communication Services,2170734592.0,0.38,4106478848.0,8756508000.0,1433940000.0,280661413.38,2024-03-31,0.03832827682583487,0.06834600244360006
ARIP.bk,mai,2024-08-13,Specialty Business Services,Industrials,233000000.0,0.5,118768000.0,268912000.0,29326000.0,13223927.0,2024-03-31,0.05519490704799112,0.11134250808298532
ARROW.bk,mai,2024-08-13,Building Products & Equipment,Industrials,1387243776.0,5.4,1397059200.0,1558011637.13,295142005.27,156603656.57,2024-06-30,0.12400619400384856,0.11209521870655159
AS.bk,SET,2024-08-13,Electronic Gaming & Multimedia,Communication Services,1787304192.0,3.58,1735743488.0,1406244000.0,406185000.0,332636328.0,2024-06-30,0.33261670361448675,0.19163910468319154
ASAP.bk,SET,2024-08-13,Rental & Leasing Services,Industrials,1655280000.0,2.28,9129616384.0,8879679000.0,4540555000.0,16563403.0,2024-03-31,0.0038172227850598417,0.0018142496139298902
ASEFA.bk,SET,2024-08-13,Electrical Equipment & Parts,Industrials,1801823232.0,3.4,2273152256.0,3098321543.0,1408067290.0,194135351.0,2024-03-31,0.11485570922565813,0.08540358459825051
ASIA.bk,SET,2024-08-13,Lodging,Consumer Cyclical,2032000000.0,6.35,4506102784.0,10195015012.0,420394057.0,85899586.0,2024-03-31,0.008788022205204785,0.01906294421534438
ASIAN.bk,SET,2024-08-13,Packaged Foods,Consumer Defensive,7774540800.0,9.55,8086938112.0,9269889000.0,913964000.0,1157664643.0,2024-06-30,0.13854416393158148,0.1431524053933554
ASIMAR.bk,SET,2024-08-13,Aerospace & Defense,Industrials,377104896.0,1.46,395749984.0,836908000.0,334101000.0,36626882.0,2024-03-31,0.07284481321859083,0.0925505583848615
ASK.bk,SET,2024-08-13,Credit Services,Financial Services,5252037632.0,9.95,69662834688.0,78406952000.0,38007056000.0,1510990537.0,2024-03-31,0.037400852145758,0.02169005243279715
ASN.bk,mai,2024-08-13,Insurance Brokers,Financial Services,278928000.0,1.49,448372928.0,550333000.0,245486000.0,18306516.0,2024-03-31,0.0600514881235505,0.040828771892311926
ASP.bk,SET,2024-08-13,Capital Markets,Financial Services,4548226048.0,2.16,4360304128.0,13425417000.0,6838120000.0,560622616.0,2024-03-31,0.08510662506943288,0.12857420022606275
ASW.bk,SET,2024-08-13,Real Estate - Development,Real Estate,6836625408.0,7.6,18560473088.0,27869618210.0,14021556160.0,1969131154.0,2024-06-30,0.1421954311650416,0.10609272428907605
ATP30.bk,mai,2024-08-13,Railroads,Industrials,579963520.0,0.85,1109128448.0,1195032000.0,263278000.0,64670898.0,2024-03-31,0.0694076955934721,0.05830785254549706
AU.bk,mai,2024-08-13,Restaurants,Consumer Cyclical,7218272768.0,8.85,5801364480.0,1327321000.0,228421000.0,292548362.0,2024-06-30,0.26621927563927567,0.05042750942619623
AUCT.bk,mai,2024-08-13,Auto & Truck Dealerships,Consumer Cyclical,5472499712.0,9.95,5259915264.0,2049248695.0,567151761.0,512426281.0,2024-06-30,0.34574410704502545,0.09742101446142232
AURA.bk,SET,2024-08-13,Luxury Goods,Consumer Cyclical,19743199232.0,14.8,25483907072.0,13626977000.0,6127100000.0,1343610292.0,2024-03-31,0.17915097700935628,0.05272387347057424
AWC.bk,SET,2024-08-13,Lodging,Consumer Cyclical,94734794752.0,2.96,173640171520.0,174802021000.0,19082517000.0,8134620348.0,2024-03-31,0.05223893050673986,0.04684757148528299
B.bk,SET,2024-08-13,Integrated Freight & Logistics,Industrials,645920768.0,0.08,3312522752.0,6703720000.0,611881000.0,298150650.45,2024-03-31,0.048942634637914754,0.09000712531558787
BA.bk,SET,2024-08-13,Airlines,Industrials,42210000896.0,20.1,40456593408.0,57594866000.0,10639585000.0,5325366328.0,2024-06-30,0.11341357595112678,0.13163160512043873
BAFS.bk,SET,2024-08-13,Airports & Air Services,Industrials,7777451008.0,12.2,21285074944.0,21796494000.0,2201582000.0,619735761.0,2024-06-30,0.031627381689695776,0.02911597739874042
BAM.bk,SET,2024-08-13,Asset Management,Financial Services,20200249344.0,6.25,108833005568.0,136745224000.0,26941232000.0,4661767000.0,2024-03-31,0.04245535080363927,0.042834129000391144
BANPU.bk,SET,2024-08-13,Thermal Coal,Energy,46888452096.0,4.68,51824791552.0,12600182000.0,2658185000.0,759241000.0,2024-03-31,0.07636705181061712,0.014650150579731559
BAREIT.bk,SET,2024-08-13,REIT - Specialty,Real Estate,9451950080.0,9.15,13245723648.0,14555640000.0,10408000.0,1368189511.0,2024-06-30,0.09406446806761143,0.10329292286017049
BBGI.bk,SET,2024-08-13,Utilities - Renewable,Utilities,8169900032.0,5.65,9861744640.0,15131848000.0,4449939000.0,437337378.0,2024-06-30,0.04094187452823273,0.04434685686608896
BBIK.bk,mai,2024-08-13,Consulting Services,Industrials,6700502528.0,33.5,5534158336.0,2226564813.0,252193982.0,319778654.0,2024-06-30,0.16196483911689233,0.05778270779132258
BCH.bk,SET,2024-08-13,Medical Care Facilities,Healthcare,39155802112.0,15.7,39857659904.0,17041064000.0,2471967000.0,2063088186.0,2024-03-31,0.14160714188394793,0.05176139770797117
BCP.bk,SET,2024-08-13,Oil & Gas Refining & Marketing,Energy,46815281152.0,34.0,175173337088.0,353121540000.0,88081063000.0,31274720601.0,2024-06-30,0.11799978990001592,0.17853584980965936
BCPG.bk,SET,2024-08-13,Utilities - Renewable,Utilities,16177104896.0,5.4,39415848960.0,70584052000.0,10020472000.0,4032027166.0,2024-06-30,0.06657511273276778,0.10229456607903543
