ticker,market,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,Total Assets,Current Liabilities,EBIT,ttm_lastest,MF_ROC,MF_EY
2S.bk,SET,2024-08-15,Steel,Basic Materials,1605988480.0,2.92,1336299136.0,2400035000.0,303942000.0,122502000.0,2024-03-31,0.05844301755695,0.09167258789576888
3K-BAT.bk,SET,2024-08-15,Electrical Equipment & Parts,Industrials,4174799872.0,53.25,3860087040.0,3736470103.0,885164361.0,205445883.0,2024-03-31,0.07205326316773503,0.0532231218806921
A5.bk,mai,2024-08-15,Real Estate - Development,Real Estate,3463320064.0,2.94,4803302400.0,3836101878.0,1114287838.0,691593519.0,2024-03-31,0.254092861906172,0.14398292287406264
AAI.bk,SET,2024-08-15,Packaged Foods,Consumer Defensive,13174999040.0,6.2,12345025536.0,5828192000.0,591024000.0,927692507.0,2024-06-30,0.17713628949844648,0.0751470707204862
AAV.bk,SET,2024-08-15,Airlines,Industrials,28526999552.0,2.22,72433262592.0,72526956000.0,28621339000.0,3279661000.0,2024-06-30,0.07469798226500268,0.04527838292296152
ABM.bk,mai,2024-08-15,Utilities - Renewable,Utilities,520015584.0,1.3,915035008.0,1580653022.0,961895030.0,7658798.0,2024-06-30,0.01237769547871957,0.008369950803018894
ACE.bk,SET,2024-08-15,Utilities - Renewable,Utilities,13299791872.0,1.32,18196408320.0,23367497556.0,2018516609.0,1267585143.0,2024-06-30,0.05937450345507585,0.06966128263932032
ACG.bk,SET,2024-08-15,Auto & Truck Dealerships,Consumer Cyclical,504000000.0,0.84,794151616.0,1373074603.0,472584927.0,57402832.0,2024-03-31,0.06374624110626671,0.07228195579217961
ADB.bk,mai,2024-08-15,Specialty Chemicals,Basic Materials,341220000.0,0.47,756505920.0,1401114120.0,730538852.0,19735074.0,2024-06-30,0.029430065410643805,0.02608713756000746
ADD.bk,mai,2024-08-15,Advertising Agencies,Communication Services,633600000.0,3.96,423927840.0,582474174.0,56935475.0,49474480.0,2024-06-30,0.09414050781443975,0.11670495620198003
ADVANC.bk,SET,2024-08-15,Telecom Services,Communication Services,728630034432.0,245.0,940599869440.0,438519263000.0,131150266000.0,47860434523.0,2024-06-30,0.15571002602777143,0.050882884505921114
AF.bk,mai,2024-08-15,Credit Services,Financial Services,896000000.0,0.56,2630995456.0,2399439000.0,1808713000.0,7934641.0,2024-03-31,0.013432015858452141,0.00301583227059743
AFC.bk,SET,2024-08-15,Textile Manufacturing,Consumer Cyclical,218756656.0,4.8,193167040.0,1477281039.87,130721749.82,1294981.5099999998,2024-03-31,0.000961696614154966,0.00670394654284706
AH.bk,SET,2024-08-15,Auto Parts,Consumer Cyclical,5306667008.0,15.3,9384586240.0,25477489000.0,11050564000.0,1848403508.0,2024-03-31,0.12812179366011814,0.19696164121989038
AHC.bk,SET,2024-08-15,Medical Care Facilities,Healthcare,2263625728.0,15.1,2104742400.0,2448409000.0,251811000.0,216674241.0,2024-03-31,0.09864082594994623,0.10294572913055773
