ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,dividendRate,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice,MF_Rank_EY,MF_Rank_ROC,MF_Rank,clusterno_kmeans
AAI.bk,SET,2025-04-03,Packaged Foods,Consumer Defensive,10065707008.0,0.542,0.14488,2.033195,3.256,0.2006,7.075,0.47,0.54,1569408860.0,3753687788.0,1103787706.0,2024-12-31,662645512.0,0.1968,0.7580755446310101,5.199999809265137,6.199999809265137,0.1096582391204844,0.2073581937338516,0.0658319888978831,9.910637892053485,11.063829381415186,0.8387096724574696,0.1042307730539312,321.0,412.0,733.0,1
AAV.bk,SET,2025-04-03,Airlines,Industrials,63199674368.0,0.164,0.069460005,1.7381489,395.46,0.35145,0.533,0.27,0.0,59871500000.0,-13564338000.0,5338839000.0,2024-12-31,6798797000.0,-0.0511,1.4692619154377502,1.5800000429153442,2.559999942779541,0.0844757358861207,0.1152918634918719,0.1075764561762116,5.244444603390164,5.851852010797571,0.6171875305590226,0.103797465535124,258.0,83.0,341.0,0
ACE.bk,SET,2025-04-03,Utilities - Renewable,Utilities,20549933056.0,0.052,0.13002,0.8040201,49.824,0.053239997,1.548,0.08,0.0,21966606369.0,1113708915.0,1188916580.0,2024-12-31,-2653093761.0,0.0717,0.2552585493825229,1.2799999713897705,1.3799999952316284,0.0578550098805733,0.0515121464057379,-0.1291047398436839,15.349999642372133,15.999999642372131,0.9275362143569622,0.0406250009080395,169.0,189.0,358.0,0
ACG.bk,SET,2025-04-03,Auto & Truck Dealerships,Consumer Cyclical,664336960.0,0.276,0.01582,0.5892256,57.122,0.03418,0.912,0.04,0.03,928560122.0,-31101433.0,60484847.0,2024-12-31,139963525.0,0.0628,-0.0057605616482486,0.699999988079071,1.090000033378601,0.091045434232652,0.0673956893407491,0.2106815267360708,10.599999701976776,17.499999701976776,0.6422018042598837,0.3942857210003601,280.0,204.0,484.0,1
ADVANC.bk,SET,2025-04-03,Telecom Services,Communication Services,1015027269632.0,7.601,0.16423,8.50465,219.552,0.37316,0.483,11.8,11.48,381405477370.0,-53523321194.0,50384420857.0,2024-12-31,78605986846.0,0.1445,0.9722928358905264,277.0,264.7464294433594,0.0496384898853672,0.1536662484004001,0.0774422414035228,22.83042372881356,23.47457627118644,1.0462841768344309,0.0274404332129963,143.0,365.0,508.0,1
ADVICE.bk,SET,2025-04-03,Electronics & Computer Distribution,Technology,2807994880.0,0.315,0.01635,3.0474932,18.707,0.37164003,1.167,0.38,0.4,816775368.56,310926712.97,276052527.98,2024-12-31,-52389714.7,0.5596,1.2523865104434622,4.559999942779541,5.662155628204346,0.0983094840899425,0.2447920709745149,-0.0186573398239244,11.17105248099879,11.999999849419844,0.8053469812919405,0.0690789482352476,298.0,445.0,743.0,1
AFC.bk,SET,2025-04-03,Textile Manufacturing,Consumer Cyclical,181734160.0,1.747,0.00487,0.15705578,6.543,0.0029499999,3.675,0.08,0.0,1014774307.55,323884265.6,3622719.9700000016,2024-12-31,20927037.33,0.0012,0.3119321881134813,4.059999942779541,5.099999904632568,0.0199341718144789,0.002706231478782,0.1151519193199561,28.912499284744264,50.74999928474426,0.796078435039117,0.4302955725669237,42.0,15.0,57.0,0
AH.bk,SET,2025-04-03,Auto Parts,Consumer Cyclical,8308972544.0,6.212,0.02769,0.38962698,52.395,0.06704,1.083,2.15,0.78,13850655232.0,706616251.0,551516051.0,2024-12-31,410118253.0,0.079,0.977165955058831,12.399999618530272,21.251359939575195,0.066375962621065,0.0378859494132579,0.0493584797432205,2.8781393574559413,5.767441683037337,0.583492051981034,0.5009677573470994,207.0,174.0,381.0,0
AHC.bk,SET,2025-04-03,Medical Care Facilities,Healthcare,795204992.0,8.512,0.07224,0.988822,0.121,0.060939997,5.509,0.85,0.43,939648388.0,1242232026.0,111592609.0,2024-12-31,104814996.0,0.11,0.8961590392174076,13.800000190734863,15.800000190734863,0.1403318768401293,0.0511451536408539,0.1318087751642283,6.221176694982192,16.235294342041016,0.8734177230470667,0.6168115856777193,369.0,248.0,617.0,1
AI.bk,SET,2025-04-03,Electrical Equipment & Parts,Industrials,2415625216.0,1.268,0.04211,0.9510086,0.042,0.14972,3.708,0.55,0.38,1756562885.0,1685781952.0,537154585.0,2024-12-31,483757587.0,0.1087,0.4798423753673596,3.319999933242798,3.7387635707855225,0.2223666905951026,0.1560432235685399,0.2002618551072452,3.73090896953236,6.036363514986904,0.8879940842435401,0.3819277185230199,417.0,348.0,765.0,1
AIE.bk,SET,2025-04-03,Farm Products,Consumer Defensive,1281008896.0,0.385,0.029360002,0.7424867,0.033,0.1087,3.103,0.18,0.25,1239700953.0,1118786579.0,231642948.0,2024-12-31,358093636.0,0.0667,0.5177549966600745,1.309999942779541,1.025548815727234,0.1808285240823183,0.0982167363011525,0.2795403194452133,5.13888857099745,7.277777459886339,1.277364785264364,0.2938931426081683,399.0,252.0,651.0,1
AIMCG.bk,SET,2025-04-03,REIT - Retail,Real Estate,660792960.0,0.755,-0.61325,0.25342464,9.471,-0.07224,5.463,-0.67,0.36,2419299284.0,352696388.0,96452043.0,2024-12-31,162817582.0,0.0648,0.7077729762327456,2.220000028610229,3.1114625930786133,0.1459640898716596,0.0347951636340072,0.2463972709394482,-2.18656720688094,-3.3134328785227303,0.7134908301801781,0.3400900857071822,372.0,139.0,511.0,1
