ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
0001.HK,2024-09-01,Conglomerates,Industrials,496356425728.0,34.37,0.080740005,7.3339014,43.05,35.35,44.15,1158903000000.0,162525000000.0,45061000000.0,46419000000.0,2023-12-31,-2.56,17.89
0002.HK,2024-09-01,Utilities—Regulated Electric,Utilities,240615899136.0,2.16,0.08738,23.377928,69.9,55.4,71.0,229051000000.0,42479000000.0,12472000000.0,15184000000.0,2023-12-31,-1.57,20.74
0003.HK,2024-09-01,Utilities—Regulated Gas,Utilities,180182269952.0,0.535,0.10035,21.896551,6.35,5.25,6.66,161977600000.0,39424500000.0,11389000000.0,8137300000.0,2023-12-31,-4.88,17.32
0006.HK,2024-09-01,Utilities—Independent Power Producers,Utilities,117420679168.0,0.696,5.86809,19.172537,54.45,36.1,55.1,95702000000.0,3249000000.0,6395000000.0,1131000000.0,2023-12-31,-1.19,33.7
0010.HK,2024-09-01,Real Estate Services,Real Estate,116893016064.0,5.301,0.16915001,6.0612245,8.91,8.06,11.3,231452000000.0,15079000000.0,7197000000.0,7119000000.0,2023-12-31,-26.82,9.54
0012.HK,2024-09-01,Real Estate—Diversified,Real Estate,273753292800.0,3.279,0.22296,18.134327,24.3,19.32,27.6,542550000000.0,60134000000.0,12289000000.0,6207000000.0,2023-12-31,-13.58,20.49
0016.HK,2024-09-01,Real Estate—Development,Real Estate,354678112256.0,2.97,0.34557,8.983548,76.45,65.3,90.5,805991000000.0,53414000000.0,31575000000.0,27134000000.0,2023-06-30,-18.38,14.58
0017.HK,2024-09-01,Real Estate—Diversified,Real Estate,156417015808.0,15.766,-0.05696,17.444445,7.85,6.91,17.58,616483200000.0,179256600000.0,15486500000.0,10988100000.0,2023-06-30,-123.95,11.97
0018.HK,2024-09-01,Publishing,Communication Services,281529088.0,0.234,0.11509,11.333334,0.34,0.32,0.59,1956771000.0,79015000.0,94825000.0,77107000.0,2024-03-31,-73.53,5.88
0019.HK,2024-09-01,Conglomerates,Industrials,219346436096.0,11.892,0.34458,3.3451235,66.2,48.4,74.0,447752000000.0,41814000000.0,35151000000.0,11335000000.0,2023-12-31,-11.78,26.89
0027.HK,2024-09-01,Resorts & Casinos,Consumer Cyclical,116685332480.0,4.661,0.20082001,15.894737,30.2,28.65,53.0,87215455000.0,12532848000.0,7158738000.0,6300439000.0,2023-12-31,-75.5,5.13
0028.HK,2024-09-01,Real Estate—Development,Real Estate,9417978880.0,4.889,0.22428,4.807229,3.99,3.23,4.49,53465274000.0,15646740000.0,1819675000.0,324817000.0,2023-12-31,-12.53,19.05
0029.HK,2024-09-01,Real Estate Services,Real Estate,1471714048.0,1.075,0.42242,0.31283185,7.07,6.77,11.1,2396433000.0,122953000.0,3972000.0,13117000.0,2023-06-30,-57.0,4.24
0035.HK,2024-09-01,Real Estate—Development,Real Estate,27939866624.0,1.392,0.04249,15.250001,1.22,0.97,1.78,47261297000.0,16151730000.0,1722149000.0,1040156000.0,2024-03-31,-45.9,20.49
