ticker,date_pulling,industry,sector,marketCap,currentPrice,enterpriseValue,totalCashPerShare,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest
A,2024-08-18,Diagnostics & Research,Healthcare,40858206208.0,140.04,41913192448.0,5.727,10856000000.0,1958000000.0,1417000000.0,1288000000.0,2024-04-30
AAT,2024-08-18,REIT—Diversified,Real Estate,1956369152.0,25.38,3088659200.0,2.026,2992932000.0,115670000.0,135199000.0,121881000.0,2024-06-30
ABBV,2024-08-18,Drug Manufacturers—General,Healthcare,342493298688.0,193.9,400318038016.0,7.449,141937000000.0,41915000000.0,9571000000.0,13721000000.0,2024-06-30
ABM,2024-08-18,Specialty Business Services,Industrials,3396138496.0,54.11,4731239424.0,0.967,4929500000.0,1179100000.0,405900000.0,400600000.0,2024-04-30
ABT,2024-08-18,Medical Devices,Healthcare,193128906752.0,111.0,200996651008.0,4.149,73017000000.0,13760000000.0,7115000000.0,6482000000.0,2024-06-30
ACI,2024-08-18,Grocery Stores,Consumer Defensive,12080736256.0,20.86,25684467712.0,0.541,26077000000.0,7066000000.0,1898800000.0,1927900000.0,2024-05-31
ACM,2024-08-18,Engineering & Construction,Industrials,12932103168.0,96.46,14626691072.0,12.383,12046598000.0,6289644000.0,738774000.0,884941000.0,2024-06-30
ACN,2024-08-18,Information Technology Services,Technology,204777472000.0,326.92,204712296448.0,8.848,54141319000.0,18207753000.0,9379426000.0,9155099000.0,2024-05-31
ADC,2024-08-18,REIT—Retail,Real Estate,7207380992.0,71.38,10017611776.0,0.164,8000838000.0,131921000.0,285297000.0,284358000.0,2024-06-30
ADM,2024-08-18,Farm Products,Consumer Defensive,28253411328.0,59.09,39678410752.0,1.598,52698000000.0,18684000000.0,3919000000.0,3013000000.0,2024-06-30
ADT,2024-08-18,Security & Protection Services,Industrials,6820473344.0,7.48,14542333952.0,0.042,15985822000.0,1315346000.0,933148000.0,1081497000.0,2024-06-30
AEE,2024-08-18,Utilities—Regulated Electric,Utilities,21905674240.0,82.1,39785652224.0,0.071,42334000000.0,3293000000.0,1990000000.0,1930000000.0,2024-06-30
AEM,2024-08-18,Gold,Basic Materials,39990882304.0,80.0,41048379392.0,1.861,29291206000.0,1791224000.0,1249153000.0,2156479000.0,2024-06-30
