ticker,market,date_pulling,industry,sector,marketCap,enterpriseValue,currentPrice,totalCashPerShare,profitMargins,trailingPE,Total Non Current Assets,Working Capital,EBIT,Operating Income,ttm_latest,beta_earnings,numofyear,avg_MF_ROC
2S.bk,SET,2024-10-09,Steel,Basic Materials,1671987968.0,1497489664.0,3.04,0.331,0.01847,12.16,677499000.0,1390287000.0,159582000.0,137660000.0,2024-06-30,-2.356,5.0,0.1672
3K-BAT.bk,SET,2024-10-09,Electrical Equipment & Parts,Industrials,4174799872.0,3732965888.0,53.25,10.383,0.04918,17.459017,1462430000.0,1472280000.0,325049883.0,173352310.0,2024-06-30,2.4938,5.0,0.0327
A5.bk,mai,2024-10-09,Real Estate - Development,Real Estate,3086359808.0,4379600384.0,2.62,0.344,0.37066,4.8518515,519485483.0,2231351356.0,791681060.0,577943480.0,2024-06-30,2.8662,5.0,0.1112
AAI.bk,SET,2024-10-09,Packaged Foods,Consumer Defensive,13706249216.0,12770026496.0,6.45,0.468,0.13508001,16.973684,1517454000.0,3719714000.0,927692507.0,896124386.0,2024-06-30,1.0781,5.0,0.1919
AAV.bk,SET,2024-10-09,Airlines,Industrials,34181001216.0,77130989568.0,2.66,0.125,0.016449999,38.0,58979449000.0,-15073832000.0,3279661000.0,3208543000.0,2024-06-30,2.97,5.0,-0.1233
ACG.bk,SET,2024-10-09,Auto & Truck Dealerships,Consumer Cyclical,630000000.0,932064064.0,1.05,0.253,0.00991,35.0,946077660.0,-53067225.0,56385388.0,56385388.0,2024-06-30,-2.4929,5.0,0.0672
ADD.bk,mai,2024-10-09,Advertising Agencies,Communication Services,787200000.0,612249600.0,4.92,1.048,0.12684,18.222221,279262738.0,246275961.0,49474480.0,52531682.0,2024-06-30,-2.8431,5.0,0.3106
ADVANC.bk,SET,2024-10-09,Telecom Services,Communication Services,794058031104.0,1009001889792.0,267.0,4.751,0.15928,24.65374,397383280000.0,-90014283000.0,47860434523.0,46032842215.0,2024-06-30,3.1777,5.0,0.1429
AFC.bk,SET,2024-10-09,Textile Manufacturing,Consumer Cyclical,230150224.0,221173888.0,5.05,1.688,0.0309,10.306123,1014347132.12,353234521.66,27003563.17,28821084.160000004,2024-06-30,0.1608,5.0,0.0012
AH.bk,SET,2024-10-09,Auto Parts,Consumer Cyclical,7562977792.0,11285321728.0,22.3,6.23,0.03658,7.458194,14233673000.0,-108308000.0,1504038508.0,1067575163.0,2024-06-30,2.8084,5.0,0.07
AHC.bk,SET,2024-10-09,Medical Care Facilities,Healthcare,2353571072.0,1246735232.0,15.7,7.712,0.08845,14.272727,956237000.0,1161208000.0,203219241.0,161540602.0,2024-06-30,0.5302,5.0,0.1073
AI.bk,SET,2024-10-09,Electrical Equipment & Parts,Industrials,2799995904.0,3045773056.0,4.0,0.921,0.024230001,13.793104,1785880000.0,1445784000.0,279811637.0,268704990.0,2024-06-30,-2.9971,5.0,0.1347
