ticker,market,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,priceToBook,debtToEquity,returnOnEquity,currentRatio,trailingEps,dividendRate,Total Non Current Assets,Working Capital,Operating Income,ttm_latest,Free Cash Flow,avg_MF_ROC,beta,price_current,price_past,MF_EarningYield,current_MF_ROC,FCF_Yield,PE_offset_Cash,PE,PriceIndex_6m,percenFCFpersharetoprice,MF_Rank_EY,MF_Rank_ROC,MF_Rank,clusterno_kmeans
AAON,us,2025-11-14,Building Products & Equipment,Industrials,8367080448.0,0.035,0.0762,8.996975,8.581,0.120790005,3.035,1.21,0.4,774739000.0,509150000.0,135110000.0,2025-09-30,-312647000.0,0.2002,1.8633472621822824,95.16999816894533,104.65071105957033,0.0161478069727769,0.1052349541120766,-0.0373663193443697,78.62396542888042,78.65289104871513,0.9094061302151276,0.0003677629575853,190.0,1311.0,1501.0,0
ABL,us,2025-11-14,Insurance - Life,Financial Services,992890624.0,0.884,0.05618,1.4545863,94.287,0.03176,0.931,0.05,0.2,780784406.0,-10285372.0,46608335.0,2025-09-30,-111152322.0,0.2507,1.3202358269128234,6.46999979019165,8.90999984741211,0.0469420637816396,0.0604911011478309,-0.1119482038738639,111.719995803833,129.399995803833,0.7261503817052083,0.1366306072127113,705.0,1329.0,2034.0,3
ACAD,us,2025-11-14,Biotechnology,Healthcare,3290147328.0,5.007,0.24941999,4.359211,5.975,0.34952,3.019,1.55,0.0,254349000.0,719838000.0,94408000.0,2025-09-30,98972000.0,-0.202,1.2751212716589777,23.63999938964844,17.15999984741211,0.0286941557894881,0.0969095255838971,0.0300813277137235,12.021289928805444,15.251612509450604,1.3776223543040167,0.2118020359252835,406.0,28.0,434.0,2
ACHC,us,2025-11-14,Medical Care Facilities,Healthcare,4107699712.0,1.287,0.03288,0.4660194,74.486,0.036930002,1.444,1.16,0.0,5664785000.0,230033000.0,443783000.0,2025-09-30,-347219000.0,0.1021,1.2747071846597582,16.079999923706055,25.71999931335449,0.1080368651835862,0.0752835795778597,-0.0845288176703019,12.75258614112591,13.8620688997466,0.6251944149686233,0.0800373138125847,1390.0,872.0,2262.0,3
ACIW,us,2025-11-14,Software - Infrastructure,Technology,5629243392.0,1.933,0.15069,3.2921467,62.509,0.18576,1.579,2.47,0.0,1997364000.0,426439000.0,343368000.0,2025-09-30,287755000.0,0.0982,1.0632491680241236,47.15999984741211,49.209999084472656,0.0609971848948612,0.1416649785481741,0.0511178820956548,18.310526254013,19.09311734713041,0.9583418151757824,0.0409881256627288,938.0,1136.0,2074.0,3
ACLS,us,2025-11-14,Semiconductor Equipment & Materials,Technology,2271038976.0,14.502,0.15929,2.5104833,7.122,0.13619,4.945,4.24,0.0,367911000.0,785040000.0,137675000.0,2025-09-30,124034000.0,0.235,1.9677641353359836,82.62000274658203,62.75,0.060622033111245,0.1194109723656946,0.0546155311779202,16.06556668551463,19.485849704382552,1.3166534302244148,0.175526501063932,933.0,1402.0,2335.0,3
ACMR,us,2025-11-14,Semiconductor Equipment & Materials,Technology,4006716672.0,8.707,0.13303,2.9559863,15.757,0.09937,3.479,1.72,0.0,412481000.0,1680293000.0,130383000.0,2025-09-30,-11819000.0,0.0843,2.844879128853685,32.63999938964844,25.149999618530277,0.0325411080127404,0.0623015194187236,-0.0029497967956143,13.91453452886537,18.97674383119095,1.297813116688861,0.2667585834196237,465.0,711.0,1176.0,0
ACTG,us,2025-11-14,Business Equipment & Supplies,Industrials,130354176.0,3.791,0.017029999,0.6549435,18.497,0.00982,8.632,0.06,0.0,328234000.0,389590000.0,3685000.0,2025-09-30,28178000.0,-0.0222,0.854802087268449,3.650000095367432,3.7300000190734863,0.0282691365407426,0.0051335703459343,0.216164919795128,-2.349998410542805,60.83333492279053,0.9785522993841896,1.038630109848908,397.0,67.0,464.0,2
ADEA,us,2025-11-14,Software - Application,Technology,1847592960.0,1.051,0.19318001,3.4771104,108.319,0.18535,3.724,0.65,0.2,788113000.0,205210000.0,145763000.0,2025-09-30,185685000.0,0.1233,2.158277457287271,13.140000343322754,13.741056442260742,0.0788934593039367,0.1467428016868631,0.1005010324351961,18.59846206665039,20.215385143573467,0.9562583778428102,0.0799847772100004,1160.0,1232.0,2392.0,3
ADMA,us,2025-11-14,Biotechnology,Healthcare,3939181312.0,0.258,0.4287,8.678828,19.278,0.63174,7.128,0.86,0.0,166032000.0,346165000.0,167014000.0,2025-09-30,40608000.0,0.0084,1.3533869710893127,15.699999809265137,19.46999931335449,0.0423981499636034,0.3260737567771775,0.0103087410260337,17.95581373170365,18.255813731703647,0.8063687911122057,0.0164331212187496,641.0,1362.0,2003.0,0
ADUS,us,2025-11-14,Medical Care Facilities,Healthcare,2174372096.0,5.588,0.06361,1.9243329,19.285,0.085760005,1.662,4.65,0.0,1162277000.0,103863000.0,123250000.0,2025-09-30,96409000.0,0.0874,1.0832487894825478,110.77999877929688,108.23999786376952,0.0566830305754622,0.097343105817682,0.0443387772393488,22.621935221354168,23.82365565146169,1.023466379948789,0.0504423186637939,873.0,903.0,1776.0,0
ADV,us,2025-11-14,Advertising Agencies,Communication Services,1899124480.0,0.616,-0.06967,0.55197793,236.572,-0.29729998,2.201,-0.76,0.0,2049642000.0,514997000.0,27043000.0,2025-09-30,-9092000.0,0.0165,3.2682689402561675,1.2000000476837158,1.1200000047683716,0.0142397195575089,0.0105445639717714,-0.004787469223713,-0.7684211153733103,-1.578947431162784,1.0714286094417376,0.5133333129353002,161.0,153.0,314.0,2
AEIS,us,2025-11-14,Electrical Equipment & Parts,Industrials,7955862528.0,20.103,0.08407,5.84934,52.234,0.117989995,4.1,3.83,0.4,935400000.0,1136200000.0,155212000.0,2025-09-30,152845000.0,0.089,2.281757709850895,202.82000732421875,118.74053192138672,0.0195091354901802,0.0749237304498938,0.0192116190371659,47.706790424078,52.95561548935216,1.7080941447904043,0.0991174404597287,260.0,812.0,1072.0,0
AENT,us,2025-11-14,Entertainment,Communication Services,428055936.0,0.024,0.01418,3.2872655,88.097,0.15800999,1.263,0.3,0.0,143096000.0,45403000.0,31110000.0,2025-06-30,26755000.0,-0.0206,1.371323219712527,6.659999847412109,2.5199999809265137,0.0726774175606806,0.1650406633456941,0.0625035135594989,22.119999491373697,22.1999994913737,2.6428571023097653,0.0036036036861661,1089.0,698.0,1787.0,0
AFRM,us,2025-11-14,Software - Infrastructure,Technology,32539887616.0,4.477,0.067379996,7.321661,241.242,0.076,14.612,0.69,0.0,1397384000.0,9921846000.0,540412000.0,2025-09-30,769212000.0,-0.0588,2.6997257254629785,73.18000030517578,56.54999923706055,0.0166076787473069,0.0477428234959445,0.0236390490673291,99.56956565967504,106.0579714567765,1.2940760617591065,0.0611779172086633,197.0,74.0,271.0,2
AFYA,us,2025-11-14,Education & Training Services,Consumer Defensive,3478572288.0,12.103,0.19578,0.2894399,69.554,0.16445999,0.936,1.44,0.23,7355176000.0,-128221000.0,1149105000.0,2025-06-30,1096507000.0,0.1078,0.4189267241503138,14.649999618530272,19.0,0.3303381114039393,0.1590026504938802,0.3152175401910176,1.768749735090468,10.17361084620158,0.7710526115015933,0.8261433662217531,1573.0,1223.0,2796.0,3
AGYS,us,2025-11-14,Software - Application,Technology,3545180672.0,2.128,0.08124,11.792126,6.956,0.08745,1.219,0.86,0.0,307607000.0,21213000.0,32087000.0,2025-09-30,56194000.0,0.0661,0.9134455175643376,125.4800033569336,82.30000305175781,0.0090508786345995,0.0975822638525637,0.0158508141612704,143.43256204294605,145.9069806475972,1.524665840875124,0.0169588774551336,91.0,810.0,901.0,2
AHCO,us,2025-11-14,Medical Devices,Healthcare,3065687296.0,0.612,0.02526,0.76456606,117.176,0.05519,1.081,0.55,0.0,3658699000.0,54128000.0,213994000.0,2025-09-30,213174000.0,0.0541,0.8172306130647389,9.329999923706056,8.899999618530273,0.0698029444422501,0.05763640482037,0.0695354677165351,15.850908952192825,16.963636224920098,1.0483146431018375,0.0655948558418531,1056.0,519.0,1575.0,0
AIRT,us,2025-11-14,Conglomerates,Industrials,193462240.0,5.53,-0.025109999,-12.259194,2681.765,-0.68451,1.895,-2.72,0.0,97104000.0,43882000.0,3367000.0,2025-06-30,6717000.0,0.0275,-0.2897276518597468,21.0,18.15999984741211,0.0174039130323312,0.0238818038670506,0.0347199536198898,-5.687499999999999,-7.720588235294117,1.1563876749146893,0.2633333333333333,218.0,252.0,470.0,2
AIRTP,us,2025-11-14,Conglomerates,Industrials,190462304.0,5.53,-0.025109999,-11.32516,2681.765,-0.68451,1.895,0.336,2.0,97104000.0,43882000.0,3367000.0,2025-06-30,6717000.0,0.0275,0.2330586313729893,19.399999618530277,16.600250244140625,0.0176780387997406,0.0238818038670506,0.0352668210923249,41.279760769435335,57.73809410276867,1.1686570583704226,0.2850515519968318,228.0,252.0,480.0,2
ALAB,us,2025-11-14,Semiconductors,Technology,25548193792.0,6.716,0.27504,19.188473,2.463,0.18402,12.779,1.21,0.0,111023000.0,1189201000.0,106609000.0,2025-09-30,229441000.0,-0.2179,3.0545175926515906,144.47000122070312,90.66000366210938,0.0041728585929774,0.0819927950876156,0.0089807131520916,113.8462820005811,119.3966952237216,1.5935362385285587,0.0464871595712118,50.0,23.0,73.0,2
ALGT,us,2025-11-14,Airlines,Industrials,2392119808.0,54.033,-0.11359999,1.1605102,209.372,-0.25299,0.976,-16.37,0.0,3277595000.0,-27025000.0,154315000.0,2025-09-30,8735000.0,0.0567,2.704734526955803,66.51000213623047,56.33000183105469,0.0645097287702406,0.0474732123904422,0.0036515729566668,-0.7621870578027163,-4.062920106061727,1.1807207522504208,0.8124041236583606,986.0,478.0,1464.0,0
ALHC,us,2025-11-14,Healthcare Plans,Healthcare,3007100928.0,3.219,-0.0057200002,20.729296,203.655,-0.15161,1.612,-0.11,0.0,117290000.0,374239000.0,2491000.0,2025-09-30,150555000.0,-0.3318,0.9014430038883946,16.770000457763672,14.90999984741211,0.0008283725952812,0.0050678596786761,0.0500664938107458,-123.19091325239702,-152.45454961603338,1.1247485331580602,0.1919499053149855,9.0,15.0,24.0,2
ALKS,us,2025-11-14,Drug Manufacturers - Specialty & Generic,Healthcare,4145999360.0,6.729,0.22272,2.9536147,4.13,0.22347,3.672,2.01,0.0,587848000.0,1267304000.0,358540000.0,2025-09-30,490869000.0,0.1449,0.6301255121820448,31.01000022888184,30.6200008392334,0.0864785468756078,0.1932671824195537,0.1183958214600399,12.080099616359124,15.427860810388974,1.0127367530685607,0.2169945162958367,1243.0,1369.0,2612.0,3
ALNT,us,2025-11-14,Electronic Components,Technology,1074978688.0,2.33,0.03501,2.935521,72.6,0.06583,3.534,1.12,0.12,327027000.0,185030000.0,42576000.0,2025-09-30,47638000.0,0.0679,2.3232489434542827,50.9900016784668,31.477502822875977,0.039606366596172,0.0831469934011252,0.0443152971605703,43.446430070059634,45.52678721291678,1.6198871290835148,0.0456952328555024,594.0,736.0,1330.0,0
