ticker,date_pulling,industry,sector,enterpriseValue,totalCashPerShare,profitMargins,trailingPE,currentPrice,fiftyTwoWeekLow,fiftyTwoWeekHigh,Total Assets,Current Liabilities,EBIT,Operating Income,ttm_latest,percento52weekhigh,percento52weeklow
AAA.VN,2024-09-01,Packaging & Containers,Consumer Cyclical,3984624975872.0,9172.666,0.0374,8.628128,10100.0,7900.0,12600.0,12219112046283.0,3567132365308.0,723235100041.0,428793582472.0,2024-06-30,-24.75,21.78
AGG.VN,2024-09-01,Real Estate—Diversified,Real Estate,3463520714752.0,5287.397,0.04507,8.598453,17600.0,15760.0,28800.0,8197170042486.0,4432107105342.0,963785763855.0,670722680693.0,2024-06-30,-63.64,10.45
AGR.VN,2024-09-01,Capital Markets,Financial Services,4754319081472.0,947.807,0.32299998,33.22289,18450.0,11400.0,23250.0,3626321903325.0,1230129090056.0,188074789579.0,161458565457.0,2024-06-30,-26.02,38.21
ANV.VN,2024-09-01,Farm Products,Consumer Defensive,5869661061120.0,743.81,0.0073,131.57895,31900.0,24550.0,41950.0,4912103461795.0,1895838353855.0,156380001684.0,170360726568.0,2024-06-30,-31.5,23.04
ASM.VN,2024-09-01,Real Estate Services,Real Estate,15397685297152.0,5299.314,0.016549999,19.417475,9380.0,7190.909,12318.182,20642960387164.0,8243803300256.0,1000054474425.0,807253770103.0,2024-06-30,-31.32,23.34
AST.VN,2024-09-01,Airports & Air Services,Industrials,2338529476608.0,8810.929,0.10306,20.920502,57600.0,48000.0,68000.0,805962790877.0,190048296819.0,213294412985.0,194570222751.0,2024-06-30,-18.06,16.67
BBC.VN,2024-09-01,Confectioners,Consumer Defensive,836100030464.0,24619.533,0.071880005,8.517887,51500.0,48200.0,59900.0,1980240381300.0,537274770279.0,149373139848.0,101236675953.0,2024-06-30,-16.31,6.41
BCG.VN,2024-09-01,Conglomerates,Industrials,27465510551552.0,1932.009,0.01635,83.333336,6660.0,6170.0,11318.182,45308294233696.0,11210635224647.0,1106105751919.0,611515762908.0,2024-06-30,-69.94,7.36
BCM.VN,2024-09-01,Engineering & Construction,Industrials,88244104462336.0,559.188,0.25419,30.120483,72000.0,50400.0,74500.0,55029367495497.0,22159924030321.0,4045884988308.0,2778081780831.0,2024-06-30,-3.47,30.0
BHN.VN,2024-09-01,Beverages—Brewers,Consumer Defensive,5484331925504.0,18338.832,0.03658,30.959753,38900.0,36800.0,44350.0,7275155408068.0,2062136695679.0,441905127623.0,214780277515.0,2024-06-30,-14.01,5.4
BMP.VN,2024-09-01,Building Products & Equipment,Industrials,6815861440512.0,21410.408,0.20628001,9.099181,104000.0,78000.0,126000.0,3085178300509.0,416127598779.0,1175710001165.0,1204481176018.0,2024-06-30,-21.15,25.0
BSI.VN,2024-09-01,Capital Markets,Financial Services,11939780493312.0,13609.476,0.35085,23.2018,49150.0,29136.363,61181.816,9858173903494.0,4946051662549.0,710572398880.0,209833968490.0,2024-06-30,-24.48,40.72
BWE.VN,2024-09-01,Waste Management,Industrials,14496740409344.0,3298.71,0.16799,18.867924,44250.0,34824.562,47000.0,12138310718945.0,2290028854698.0,1085318539391.0,1033786272337.0,2024-06-30,-6.21,21.3
CAV.VN,2024-09-01,Electrical Equipment & Parts,Industrials,5813645606912.0,5356.419,0.04073,9.451796,69900.0,61200.0,80900.0,4449233157883.0,2721354311537.0,575463874510.0,753463205821.0,2024-03-31,-15.74,12.45
CHP.VN,2024-09-01,Utilities—Regulated Electric,Utilities,5531446542336.0,2114.438,0.34772998,18.939394,35000.0,23000.0,35350.0,2773397481533.0,286808344167.0,356296941235.0,349222054534.0,2024-06-30,-1.0,34.29
CII.VN,2024-09-01,Engineering & Construction,Industrials,28633720684544.0,5638.902,0.1302,13.927577,15400.0,13600.0,24600.0,36205093960497.0,8319092216908.0,2290614830723.0,507305663723.0,2024-03-31,-59.74,11.69
CMG.VN,2024-09-01,Information Technology Services,Technology,10764923437056.0,8607.534,0.04561,37.878788,52800.0,32408.875,74600.0,7303536205785.0,2926815865460.0,539811175085.0,384771048752.0,2024-06-30,-41.29,38.62
CRE.VN,2024-09-01,Real Estate Services,Real Estate,1774847000576.0,370.938,0.08182,196.05666,7060.0,6500.0,10950.0,7121177412431.0,1487700934655.0,108620663740.0,80645445196.0,2024-06-30,-55.1,7.93
CSM.VN,2024-09-01,Auto Parts,Consumer Cyclical,2664323612672.0,3290.81,0.016210001,22.026432,13000.0,11700.0,18800.0,3885230923980.0,2463643763643.0,230630634416.0,149568327072.0,2024-06-30,-44.62,10.0
CTD.VN,2024-09-01,Engineering & Construction,Industrials,4599794630656.0,33500.38,0.00806,92.5926,63500.0,45000.0,78100.0,20932927804590.0,12387308833923.0,387271109054.0,26481513560.0,2024-03-31,-22.99,29.13
CTS.VN,2024-09-01,Capital Markets,Financial Services,8898347008000.0,15820.46,0.24827999,26.31579,39000.0,19000.0,46450.0,7939448771981.0,5760144563819.0,539604993200.0,468100138873.0,2024-06-30,-19.1,51.28
DBC.VN,2024-09-01,Farm Products,Consumer Defensive,12507510996992.0,4318.4,0.02015,29.411764,28450.0,17150.0,37550.0,13326282146710.0,7354493380943.0,549436517509.0,527083364676.0,2024-06-30,-31.99,39.72
