Code,Name,IndustryName,Exchange,TotalShares
126IBC,CTCP Đầu tư Kinh doanh và Xây dựng 126,"Xây dựng nhà cửa, cao ốc",OTC,0
3TAudit,Công ty TNHH Dịch vụ Tài chính - Kế toán và Kiểm toán 3T,Dịch vụ pháp lý,Khác,0
A32,CTCP 32,Sản xuất các sản phẩm da và liên quan,UPCoM,6800000
AA,Công ty TNHH Kiểm toán Mỹ,Dịch vụ pháp lý,Khác,0
AAA,CTCP Nhựa An Phát Xanh,Sản xuất các sản phẩm nhựa và cao su,HOSE,221759974
AAAA,CTCP Bảo hiểm AAA,Bảo hiểm và các hoạt động liên quan,OTC,0
AAAT,"Công ty TNHH Dịch vụ Kiểm toán, Kế toán và Tư vấn Thuế AAT",Dịch vụ pháp lý,Khác,0
AAC,Công ty TNHH Kiểm toán và Kế toán AAC,Dịch vụ pháp lý,Khác,0
AACA,Công ty TNHH Tư vấn và Kiểm toán Á Châu,Dịch vụ pháp lý,Khác,0
AACC,Công ty TNHH Kế toán Kiểm toán Tư vấn Việt Nam,Dịch vụ pháp lý,Khác,0
AACVN,Công ty TNHH Kiểm toán - Tư vấn Định giá ACC Việt Nam,Dịch vụ pháp lý,Khác,0
AAFC,Công ty TNHH Tư vấn Tài chính Kế toán và Kiểm toán Việt Nam,Dịch vụ pháp lý,Khác,0
AAM,CTCP Thủy sản MeKong,Sản xuất thực phẩm,HOSE,12346411
AAS,CTCP Chứng khoán SmartInvest,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",UPCoM,31000000
AASC,Công ty TNHH Hãng Kiểm toán AASC,Dịch vụ pháp lý,Khác,0
AASCN,Công ty TNHH Dịch vụ Tư vấn Tài chính Kinh tế và Kiểm toán Nam Việt,Dịch vụ pháp lý,Khác,0
AASCS,Công ty TNHH Dịch vụ Tư vấn Tài chính Kế toán và Kiểm toán Phía Nam,Dịch vụ pháp lý,Khác,0
AAT,CTCP Tiên Sơn Thanh Hóa ,Bán buôn hàng tiêu dùng,HOSE,34800000
AAUS,CTCP Chứng khoán Á - Âu,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,3500000
AAV,CTCP Việt Tiên Sơn Địa ốc,Bán buôn hàng tiêu dùng,HNX,31874996
ABB,Ngân hàng TMCP An Bình,Trung gian tín dụng và các hoạt động liên quan,UPCoM,571311355
ABBS,CTCP Chứng khoán An Bình,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",OTC,39700000
ABBVietNam,Công ty TNHH Kiểm toán A.B.B Việt Nam,Dịch vụ pháp lý,Khác,0
ABC,CTCP Truyền thông VMG,Viễn thông,UPCoM,20393000
ABFM,CTCP Quản lý Quỹ đầu tư Chứng khoán An Bình,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",OTC,0
ABI,CTCP Bảo hiểm Ngân hàng Nông nghiệp Việt Nam,Bảo hiểm và các hoạt động liên quan,UPCoM,38000000
ABR,CTCP Đầu tư Nhãn hiệu Việt,Bán buôn hàng tiêu dùng,UPCoM,20000000
ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,Bán buôn hàng tiêu dùng,HOSE,80000000
ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,Sản xuất thực phẩm,HOSE,14107207
AC4,CTCP ACC-244,Xây dựng công nghiệp nặng và dân dụng,UPCoM,2940862
ACAGroup,Công ty TNHH Kiểm toán và Tư vấn Tài chính,Dịch vụ pháp lý,Khác,0
ACB,Ngân hàng TMCP Á Châu,Trung gian tín dụng và các hoạt động liên quan,HOSE,2161558460
ACBC,Công ty TNHH MTV Quản lý Quỹ ACB,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
ACBS,Công ty TNHH Chứng khoán ACB,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",Khác,150000000
ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,Sản xuất sản phẩm khoáng chất phi kim,HOSE,30000000
ACCCO,CTCP Tư vấn Kiến trúc và Xây dựng Thành phố Hồ Chí Minh,"Xây dựng nhà cửa, cao ốc",OTC,0
ACE,CTCP Bê tông Ly tâm An Giang,Sản xuất sản phẩm khoáng chất phi kim,UPCoM,3050781
ACELife,Công ty TNHH Bảo hiểm Nhân thọ ACE,Bảo hiểm và các hoạt động liên quan,Khác,0
ACELifeFMC,Công ty TNHH MTV Quản lý Quỹ ACE LIFE,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
ACGroup,Công ty TNHH Tư vấn và Kiểm toán Quốc tế,Dịch vụ pháp lý,Khác,0
ACHAU,CTCP Tơ tằm Á Châu,"Sản xuất sợi, vải",OTC,5000000
ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,Sản xuất thực phẩm,HOSE,50159019
ACM,CTCP Tập đoàn Khoáng sản Á Cường,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HNX,51000000
ACPA,Công ty TNHH Kiểm toán và Tư vấn Nexia  ACPA,Dịch vụ pháp lý,Khác,0
ACS,CTCP Xây lắp Thương mại 2,Xây dựng công nghiệp nặng và dân dụng,UPCoM,4000000
ACSVN,CTCP ACS Việt Nam,"Nghệ thuật, vui chơi và giải trí",OTC,10800000
ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,Hỗ trợ vận tải,UPCoM,2177173236
ACVietNam,Công ty TNHH Tài chính và Kiểm toán Việt Nam,Dịch vụ pháp lý,Khác,0
AChauAudit,Công ty TNHH Kiểm toán Quốc tế Á Châu,Dịch vụ pháp lý,Khác,0
ADC,CTCP Mỹ thuật và Truyền thông,Công nghiệp xuất bản - Ngoại trừ internet,HNX,3060000
ADG,CTCP Clever Group,"Quảng cáo, quan hệ công chúng và dịch vụ liên quan",HOSE,18000333
ADP,CTCP Sơn Á Đông,"Sản xuất hóa chất, dược phẩm",UPCoM,15359914
ADS,CTCP Damsan,"Sản xuất sợi, vải",HOSE,28069450
AEAAudit,Công ty TNHH Kiểm toán Đông Á,Dịch vụ pháp lý,Khác,0
AECS,CTCP Tư vấn Xây dựng và Dịch vụ Hàng Không,"Xây dựng nhà cửa, cao ốc",OTC,0
AFC,CTCP Nông Lâm nghiệp Bình Dương,Hoạt động hỗ trợ cho nông lâm nghiệp,OTC,10688363
AFCAudit,Công ty TNHH Kiểm toán AFC Việt Nam,Dịch vụ pháp lý,Khác,0
AFCC,Công ty TNHH Kiểm toán và Tư vấn Tài chính A.F.C.C,Dịch vụ pháp lý,Khác,0
AFCVietNam,Công ty TNHH Kiểm toán và Tư vấn Tài chính Kế toán Việt Nam,Dịch vụ pháp lý,Khác,0
AFCVietnamFund,Quỹ AFC Vietnam Fund,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",Khác,0
